Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Saucony,Kinvara 13,https://runrepeat.com/saucony-kinvara-13,Apr 2022,"Mar 14, 2022",Running,89.0,"Our verdict: The Saucony Kinvara 13 doesn't just look fast; it also runs fast. Apart from being the lightest Saucony Kinvara, it's also the brand's lively and natural-feeling jack-of-all-trades. We established on our tests that this tempo trainer is cushioned enough for short to mid-distance runs, and is bouncy yet stable for faster paces. For Saucony fans, we can say that the Kinvara 13 is a low-to-the-ground complement to the famous Saucony Endorphin Speed 2.",,Tempo,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Low drop  |, |, Lightweight","Soft and responsive cushion, Insanely light, Secure lockdown, Tongue stays in place, No lace bites, Breathable for warm weather, Reflective elements, Sustainably-made upper","Lacks cushion for long runs, Too roomy for narrow feet",26.9,22.4,4.5,21.5,27.5,28.0,3.7,Slightly small,,1.0,3.0,110.0,84.7,34.3,148.0,7.2,204.0,,,,76.0,,2.0,$120,,5.0,Both sides (semi),Pull tab,Yes,,,,,,,,13.8,95.9,
Topo,Athletic Ultraventure 3,https://runrepeat.com/topo-athletic-ultraventure-3,Nov 2022,"Feb 16, 2025",Running,88.0,"Our verdict: The Ultraventure 3 provides all-day cushioning, making it an excellent choice for long-distance training. We were impressed by its ultra-spacious toebox, which offers exceptional comfort for wide-footed runners, and its grippy-yet-durable Vibram outsole. Despite its maximalist cushioning, we found that it maintains a reasonable weight and impressive flexibility, making it a great option for hiking as well. However, we think it’s not the best fit for heel strikers due to its geometry, and runners with narrow feet may find it excessively roomy.",,,Forefoot/Midfoot strike,"Mesh, Mesh",Trail,"Comfortable  |, |, Maximalist","Ultra-roomy toe box, Protective underfoot, Works for hiking too, Excellent traction by Vibram, Great midfoot and heel hold, Versatile for trails and roads, Above-average durability, Lightweight for its size, Solid Altra Olympus alternative","Not the best for heel strikers, Only for easy or mild trails, Needs better outsole coverage, Lacks reflective elements",37.2,30.9,6.3,18.5,21.5,16.0,4.5,True to size,31.3,4.0,3.0,117.3,88.2,25.3,20.0,9.74,276.0,3.0,3.0,2.0,86.5,0.5,2.2,$150,No,5.8,Both sides (semi),,Yes,,,,3.2,,,,17.05,99.9,81.6
Saucony,Triumph 20,https://runrepeat.com/saucony-triumph-20,"Aug 01, 2022","Jan 31, 2022",Running,87.0,"Our verdict: The Triumph 20 from Saucony is a daily running shoe that brings back the roots of the OG Triumph. We felt as if the Triumph strayed away from its identity in the past two versions but now it's back, and it's better than ever! The shoe is more cushioned and has some nice bounce to offer. If you want a leg-saving ride that will keep you feeling excited, we cannot recommend the Saucony Triumph 20 enough!",,Daily running,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","It's now livelier, Comfy as expected, Fits like a glove!, Heel clutch couldn't be better, No lace bites, ...and they stay in place, Lighter than before, Plush yet breezy upper","Price is way up there, Rocker geometry isn't as pronounced",35.4,25.0,10.4,18.8,23.8,27.0,6.5,Slightly small,,2.0,3.0,112.3,87.0,35.5,28.0,9.95,282.0,5.0,,,82.5,,3.5,$160,,7.9,Both sides (semi),Finger loop,Yes,,,,,,,,27.7,95.6,
Puma,Deviate Nitro Elite 2,https://runrepeat.com/puma-deviate-nitro-elite-2,Feb 2023,"Jun 28, 2023",Running,85.0,"Our verdict: The Puma Deviate Nitro Elite 2 has shown us it's not only a good racing shoe but also a standout for tempo runs. We think that this is a well-thought-out redesign from the first version, featuring an enhanced, comfortable upper and substantial PumaGrip rubber on the outsole that gave us excellent traction and durability. Regrettably, we encountered a slight increase in weight as the main trade-off.",,Competition,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, Maximalist  |, |, Lightweight","Amazing durability, Plush foam, Excellent PumaGrip outsole, Better for heel strikers, Responsive PWRPLATE carbon plate, Accommodates medium-to-wide feet, Perfect for tempo runs","Heavier than v1, Still lacks race-day vibe",35.0,25.9,9.1,13.9,20.3,46.0,3.4,True to size,,4.0,1.0,108.1,88.2,53.7,43.0,7.55,214.0,5.0,2.0,5.0,74.8,,2.5,$200,Yes,4.9,,,Yes,Medium,Normal,Normal,,,,,37.6,94.6,75.4
Hoka,Arahi 6,https://runrepeat.com/hoka-arahi-6,"Feb 15, 2022","Feb 22, 2022",Running,87.0,"Our verdict: I recognized the significant similarity between this Hoka’s lightweight stability shoe and its predecessor, the Arahi 5, with a nice, even amount of cushioning and consistent yet subtle stability. This shoe took me through long miles and helped me with recovery runs. What’s more, it’s lightweight, especially compared to its chunky aesthetic.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,Low drop,"Fits true to size, Balanced cushioning, Lightweight for stability shoes, Good lockdown, Stable platform, Fun to run in, Very comfortable, Improved lacing","Grip is not reliable, Durability problems",32.6,28.5,4.1,,,,6.3,True to size,,,,115.3,97.5,49.3,30.0,8.89,252.0,,,,86.5,,2.1,$140,,10.0,,,,,,,,,,,37.9,98.4,
Adidas,Adizero Sl2,https://runrepeat.com/adidas-adizero-sl2,Jun 2024,"Sep 3, 2024",Running,90.0,"Our verdict: The Adidas Adizero SL2 presents a distinctive approach as a daily trainer, diverging notably from current market trends. We really liked its emphasis on providing a dynamic, lightweight, and enjoyable ride, though it does sacrifice stability in the process. In our testing, we also noted that the outsole could benefit from some enhancements. Despite these areas for improvement, we found it to be a refreshing, well-priced option and a worthy sequel to the original SL, leaving us quite satisfied!",,"Daily running, Tempo",Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Lightweight","Lightweight, Enhanced with more Lightstrike Pro superfoam, Suits various running paces, Can double as a racer for beginners, Spacious fit, Highly breathable, Excellent value, Surprisingly plush upper, Perforated insole","Tongue design needs enhancement, Outsole durability, Not very stable",34.9,26.7,8.2,20.1,21.1,5.0,3.4,Half size small,26.2,3.0,2.0,113.0,82.4,27.1,19.0,8.64,245.0,5.0,1.0,5.0,79.8,1.1,3.6,$130,No,12.7,,Pull tab,Yes,,,,,19.5,,,17.75,100.05,74.65
New Balance,Fresh Foam X Vongo V 6,https://runrepeat.com/new-balance-fresh-foam-x-vongo-v-6,,"Jun 4, 2024",Running,88.0,"Our verdict: The New Balance Fresh Foam X Vongo v6 emerges as an interesting choice in the evolving landscape of mild-stability shoes—packed with modern features like a EVA plate and unobtrusive support that might let down those needing serious stability, yet it offers a remarkably comfy yet supportive ride. In our view it still needs another diet, and with its 6 mm drop and current dimensions, we believe it’s better suited for forefoot and midfoot strikers.",,Daily running,Forefoot/Midfoot strike,"Knit  |, |, Reflective, Reflective",Road,"Comfortable  |, |, Maximalist","Flexible design, Comfortable, high-quality upper, Exceptional durability, Perfect for easy paces, Also suitable for neutral runners, Excellent for long runs, Reasonably priced","Noticeably heavy, Limited breathability, Not the best for heel strikers",36.1,30.5,5.6,18.9,24.0,27.0,4.9,True to size,27.4,3.0,4.0,118.3,91.7,27.0,19.0,11.01,312.0,1.0,3.0,4.0,86.5,0.7,3.5,$150,Yes,7.7,Both sides (semi),Extended heel collar,Yes,,,,,15.8,,,19.05,97.05,76.9
Salomon,Xa Pro 3D V9 Gtx,https://runrepeat.com/salomon-xa-pro-3d-v9-gtx,,"Feb 10, 2024",Running,82.0,"Our verdict: The Salomon XA Pro 3D v9 GTX is a waterproof trail runner that supports, protects, and pampers our feet while keeping them dry through all our outdoor adventures. Thanks to its 3D Chassis and grippy outsole, we enjoyed an extremely stable and surefooted ride while testing this shoe, whether out for a light run or a backpacking journey. While it could use a bit of a diet as a more serious running shoe, we think that its versatility and the comfort we experienced make it worth every penny.",,,Heel strike,,Trail,,"Incredibly protective, Extremely stable and supportive, Great traction even on wet surfaces, Watertight Gore-Tex upper, Flexible and forgiving on the foot, Makes a great hiking companion, Effectively dampens landings, Generously padded from heel to tongue, No lace bite whatsoever, Durable, high-quality construction, Simple yet snazzy design","Could be lighter, Rather firm cushioning, Upper needs breaking in, Lacks the agility for technical trails",33.5,20.0,13.5,32.5,36.7,13.0,5.5,True to size,,5.0,4.0,111.1,82.2,36.7,49.0,12.66,359.0,1.0,5.0,2.0,83.6,0.8,3.0,$160,No,10.3,,Finger loop,Yes,,,,2.8,,,,22.65,101.2,75.7
Salomon,Speedcross 6 Gtx,https://runrepeat.com/salomon-speedcross-6-gtx,,"Dec 12, 2023",Running,86.0,"Our verdict: Our extensive trials with the Salomon Speedcross 6 GTX revealed it as an exceptional iteration of this saga, maintaining the core attributes of agility, durability, cushioning, and superior grip of its predecessor. We discovered that the Gore-Tex membrane's incorporation does add slightly to the shoe's weight and price, yet it offers significant benefits when we're tackling wet terrains, dealing with frequent rain, or encountering moist conditions.",,,Heel strike,"Mesh, Mesh",Trail,Maximalist,"Fully functional Gore-Tex membrane, Ample cushioning for long adventures, Excels in challenging, technical terrain, Rapidly sheds mud, Agile and tenacious grip on twisted trails, Remarkable durability, Ideal for heel strikers","Completely lacks breathability, Midsole could feel overly firm for some, Exceptionally heavy, Narrow, snug-fitting toebox",37.0,25.8,11.2,32.4,35.8,10.0,6.6,True to size,22.0,5.0,4.0,104.6,88.8,32.5,35.0,11.46,325.0,1.0,4.0,5.0,87.0,1.4,1.5,$165,No,8.1,Sock like,,Yes,,,,5.0,,,,24.1,97.95,73.75
Adidas,Ultraboost 21,https://runrepeat.com/adidas-ultraboost-21,"Jan 28, 2021","Jan 17, 2021",Running,89.0,"Our verdict: Now in its 21st iteration, the Adidas Ultraboost may have wowed runners with its style and durability, but I noticed that it's becoming more and more like a lifestyle shoe than a running shoe. But its strength is what makes it a standout - it literally swallowed miles and miles of pounding on the pavement during wear tests. It may not be the fastest, lightest shoe, but if you want loads of pop, it's THE shoe.",,Daily running,Heel strike,Knit,Road,,"Sock-like fit, Fantastic peppy ride, Really durable, Heel stays put, Great midfoot lockdown, Good grip, Stretchy upper for wide feet, Fun daily trainer","Loose on sharp turns & faster runs, Sweaty on hot summer days, Heavy",32.8,20.7,12.1,,,,4.2,True to size,,3.0,,117.2,92.8,,,12.52,355.0,,,,,,3.6,$180,,1.9,Bootie,Pull tab,Yes,,,,,,,,,100.8,
Altra,Olympus 6,https://runrepeat.com/altra-olympus-6,Jul 2024,"Sep 11, 2024",Running,84.0,"Our verdict: The Altra Olympus 6 left us with a bittersweet taste—while the updates are solid, it feels like it could have been truly exceptional with just a few key tweaks. We were impressed by the state-of-the-art upper, offering second-to-none durability and breathability, paired with a real zero-drop geometry and a grippy Vibram Megagrip outsole. However, the heavy weight, minor price hike, and low-rebound CMEVA foam left us wondering what this shoe could have been but ultimately isn’t.",,,Forefoot/Midfoot strike,"Mesh  |, Mesh, |, Reflective, Reflective",Trail,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Low drop  |, |, Zero drop  |, |, Maximalist","Outstanding durability, Superior build quality, Grippy Vibram outsole, Exceptionally comfortable, Real 0-mm drop, Ready for the toughest adventures, Spacious, foot-shaped toebox, Premium quality materials","Extremely heavy, Slight price increase, Lacks energy return",32.2,31.5,0.7,20.0,25.8,29.0,5.0,Slightly small,28.7,4.0,3.0,114.9,101.4,44.1,34.0,12.59,357.0,5.0,5.0,4.0,85.6,0.8,1.6,$175,Yes,10.2,Both sides (full),Finger loop,Yes,,,,3.5,,,,25.25,99.2,84.25
Nike,Revolution 7 Easyon,https://runrepeat.com/nike-revolution-7-easyon,,"Nov 17, 2024",Running,79.0,"Our verdict: The Revolution 7 EasyOn retains the value-driven features of its standard sibling but elevates convenience with Nike’s clever EasyOn technology. We were impressed by how it maintains its budget-friendly price while adding a seamless, one-hand lacing system. In our testing, we also found it still has a firmer ride and a tapered toebox, which may not suit everyone, but for those seeking practical convenience at an unbeatable price, we believe the Revolution 7 EasyOn is second to none.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, For heavy runners  |, |, For big guys","Flexible enough for walking and easy running, High breathability, EasyOn system, Incredible value, Good stability, Accesible for individuals with disabilities, Same price as regular Revolution 7, Great for heel strikers","Limited durability of toebox mesh, Firm midsole, Thin forefoot cushioning, Tapered, low-volume toebox",31.7,21.8,9.9,27.1,35.3,30.0,4.0,Slightly small,25.3,3.0,4.0,115.5,91.8,19.6,28.0,9.7,275.0,5.0,2.0,4.0,85.1,1.3,4.1,$70,No,7.9,Both sides (full),,Yes,,,,,,,,15.3,95.69999999999999,73.3
New Balance,Fresh Foam 860 V 12,https://runrepeat.com/new-balance-fresh-foam-860-v-12,Nov 2021,"Sep 16, 2021",Running,87.0,"Our verdict: With this iteration, I proved that the NB 860 series continues to provide amazing support for flat feet and overpronation. Ever improving, I loved that the v12 has brought some new technology into this shoe while bringing back some of the features of the old upper.",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Excellent stability shoe, Good lacing, Looks the part, Comfortable, Consistent ride in any condition, Good grip, Perfect daily runner","Runs half a size small, Heel counter is not for everyone, Quite heavy",33.6,20.3,13.3,,,,5.1,Slightly small,,,,112.8,89.8,31.9,18.0,10.97,311.0,,,,87.2,,4.6,$130,,12.1,,,,,,,,,,,27.1,100.4,
Brooks,Revel 5,https://runrepeat.com/brooks-revel-5,"Jul 01, 2021","Jun 28, 2021",Running,87.0,"Our verdict: An affordable trainer that's got the makings of advanced running shoes? Hello, Brooks Revel 5! It's a smooth and lively jack-of-all-trades that keeps my feet comfy and bouncing. Based on my experience, it can push the pace, eat up half-marathon distances, and breeze through daily runs!",,Daily running,Heel strike,"Knit, Vegan, ,",Road,"Breathable  |, |, Lightweight","Fits like a dream, Accommodating stretchy upper, Efficient transitions, Surprisingly peppy, Laces stay tied tightly, Low to the ground, Durable construction, Great deal, Do-it-all shoe, Impressive weight, Breathable","Not for long runs, No reflective details",28.5,18.9,9.6,,,,3.7,Slightly large,,3.0,3.0,112.5,90.8,33.5,68.0,8.71,247.0,4.0,,,79.0,,3.0,$100,,2.8,Both sides (full),Finger loop,Yes,,,,,,,,19.9,99.4,
Brooks,Launch 11,https://runrepeat.com/brooks-launch-11,,"Mar 30, 2025",Running,83.0,"Our verdict: The Launch 11 stays true to its heritage with a lightweight feel and a go-fast design we really liked. We were impressed by the responsive DNA Flash midsole that gave each stride a lively push, especially during faster sessions. Still, we found unexpected trade-offs—reduced flexibility, a heavier build, and a price increase that edges away from its budget-friendly appeal. We believe Brooks improved the tech here, but the soul of the Launch starts to feel slightly at risk.",,"Daily running, Tempo",Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Lightweight","Revamped nitrogen-injected midsole, Great upper breathability, Still fairly priced, Snug and secure fit, Improved for heel strikers, Agile and nimble ride, Works for daily miles and speed workouts, Improved stability","Price increase from v10, Low-volume toebox, Firm ride, Minor weight gain",33.5,24.0,9.5,24.1,28.0,16.0,5.0,Slightly small,25.5,4.0,4.0,112.0,84.1,31.6,24.0,8.36,237.0,4.0,3.0,1.0,80.0,0.8,3.0,$120,No,5.0,Both sides (semi),,Yes,,,,,20.5,,,20.15,93.2,73.2
Adidas,Ultraboost 5,https://runrepeat.com/adidas-ultraboost-5,,"Aug 11, 2024",Running,90.0,"Our verdict: The Ultraboost 5 combines classic features with modern advancements such as Light Boost cushioning and a redesigned Primeknit upper. We were also impressed by the durable-yet-grippy Continental outsole and the spacious, comfortable fit. Despite its $180 price tag and substantial weight, we think Adidas has crafted a versatile shoe that does a really great job in everyday wear and daily runs alike.",,Daily running,Heel strike,Knit,Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Enhanced midsole cushioning, Roomy, comfortable knit upper, Suitable for daily wear, Excellent durability, Optimized for heel strikers, Superior Continental outsole, More cushioned than ever before, Can handle forefoot strikers, Great for summer","Could still be lighter, Not suitable for fast paces, Potential for heel slippage",35.2,24.6,10.6,17.0,19.9,17.0,3.1,True to size,27.9,4.0,3.0,115.6,94.3,22.3,19.0,10.3,292.0,5.0,3.0,5.0,69.1,0.8,2.8,$180,No,1.2,Sock like,Extended heel collar,Yes,,,,,,,,18.7,100.7,80.19999999999999
Altra,Provision 7,https://runrepeat.com/altra-provision-7,Nov 2022,"Jan 24, 2024",Running,83.0,"Our verdict: The Altra Provision 7 steps up the game with a lighter, more stable build than its predecessors. We think it's a perfect fit for those who love low-drop, mid-stability trainers, though you should be comfortable with its slightly firmer midsole feel. Additionally, in our lab tests, we noticed the heel-to-toe drop differed slightly from the advertised 0 mm. Nevertheless, we feel its fair price and impressive features make it a standout choice for runners who want a low-drop shoe with a bit of support for their daily runs.",,Daily running,Forefoot/Midfoot strike,"Mesh, Vegan  |, Mesh, ,, |, Reflective, Reflective",Road,Breathable,"Snug and secure lockdown, Foot-shaped toe box for natural toe splay, Stable without being intrusive, Excellent traction across various surfaces, Highly breathable design, Ideal for a wide range of paces, Performs well on light trails, Good durability","Midsole might feel overly firm for certain runners, Unexpectedly narrow upper, Limited energy return",32.6,27.8,4.8,26.0,29.0,12.0,5.0,True to size,,4.0,2.0,116.9,87.7,31.9,21.0,9.14,259.0,5.0,3.0,5.0,82.3,0.7,5.4,$140,Yes,6.5,,,Yes,,,,,,,,26.4,95.4,88.3
Nike,Wildhorse 8,https://runrepeat.com/nike-wildhorse-8,"Mar 01, 2023","Mar 24, 2023",Running,86.0,"Our verdict: Coming off the back of the Pegasus Trail 4’s release, the Wildhorse 8 has had its work cut out to match its road-to-trail counterpart’s phenomenal acclaim. Fortunately for fans of the Nike Trail line, the remodeled v8 delivers in every aspect that matters—getting top marks in comfort, protection, and performance. From our perspective, it’s a no-fuss, wear-it-and-forget-it runner that can confidently traverse long distances even in the roughest of terrains.",,,Heel strike,"Mesh, Mesh",Trail,Comfortable,"Superior upper comfort, Durable, No need to break it in, Superb lockdown, Ample toe box space, Great traction on muddy, boggy, snowy trails, Also comfortable on hard surfaces, Sheds mud easily, Stable and protective midsole, Smooth, enjoyable ride, Best for daily training and trail LSDs","Not as protective for the toes, Does not like to go fast, Can be unstable at fast paces",34.2,25.0,9.2,16.0,22.6,41.0,4.8,True to size,,3.0,3.0,108.1,88.0,29.8,37.0,11.25,319.0,3.0,1.0,1.0,83.3,,1.7,$130,No,8.1,Both sides (full),Finger loop,Yes,Medium,Normal,Normal,3.5,,,,17.9,100.1,79.1
Saucony,Kinvara 14,https://runrepeat.com/saucony-kinvara-14,"Mar 25, 2023","Feb 9, 2023",Running,83.0,"Our verdict: With its ultra-light upper, lofty cushioning, and modern insole, you wouldn’t be remiss to think that the Kinvara 14 had strayed from its path. While it’s no longer the lean mean Kinvaras of old that we enjoyed, this new version still boasts the flexible, natural-feeling, low-drop ride loyalists have come to know and love. And despite the radical overhaul, we believe that this Saucony favorite remains one of the best uptempo trainers for those on a budget.",,Tempo,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Low drop  |, |, Lightweight","More cushioned and protective than ever, Responsive foam, The lightest Kinvara yet, Offers some mild guidance, Good grip even on wet surfaces, Smooth, natural-feeling ride, Pleasantly airy, Works for fast and slow paces, Can go the distance, Also a worthy racing shoe, Fairly priced","A bit on the firm side, Less outsole rubber means less mileage, Lockdown is so-so",30.3,26.2,4.1,24.8,26.3,6.0,7.0,True to size,,1.0,3.0,111.3,87.5,28.6,87.0,6.84,194.0,5.0,1.0,,79.4,,2.4,$120,No,3.9,Both sides (semi),Finger loop,Yes,Medium,Normal,Normal,,,,,15.3,99.8,74.0
Adidas,Runfalcon 5,https://runrepeat.com/adidas-runfalcon-5,,"Nov 28, 2024",Running,85.0,"Our verdict: The Runfalcon 5 is a budget-friendly running shoe that comes with significant limitations. While we appreciated the improved stability and the comfortably padded upper, we found that durability was a major letdown that makes it a tough sell for those needing a long-lasting shoe. However, if durability isn’t your top priority, this shoe still offers a wallet-friendly, no-frills design for casual use.",,Daily running,Heel strike,"Mesh, Mesh",Road,"For heavy runners  |, |, For big guys","Exceptionally affordable, Comfortable for walking, Ideal for heel strikers, Performs well in cold climates, Cushy upper material, Ultraboost-inspired heel design, Ortholite insole, Improved heel design","Shockingly poor durability, Insufficient forefoot cushioning, Firm midsole",31.2,21.8,9.4,26.1,30.5,17.0,4.0,True to size,26.6,2.0,3.0,109.8,91.7,21.2,15.0,9.7,275.0,3.0,1.0,1.0,81.9,1.5,2.7,$65,No,9.7,,,Yes,,,,,,,,18.4,99.6,74.15
New Balance,Fuelcell Propel V4,https://runrepeat.com/new-balance-fuelcell-propel-v4,Mar 2023,"Nov 1, 2023",Running,86.0,"Our verdict: The New Balance FuelCell Propel v4 is a bona fide choice at just $110, offering a slice of luxury in the world of neutral running shoes. Our lab tests confirm it's not only incredibly comfortable thanks to its premium upper but also versatile enough for easy and tempo runs, courtesy of its FuelCell foam and flexible TPU plate. On the flip side, extreme heel strikers or those who need added stability may find it less ideal, but for the majority, we consider it a well-balanced and budget-friendly pick.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Low drop","High-quality upper material, Ultra-cushioned FuelCell midsole, Seamlessly integrated TPU plate, Versatile for both easy and tempo runs, Long-lasting outsole, Perfect for midfoot and forefoot strikers, Exceptional value at just $110","Not the best for heel strikers, Midsole foam may lack some energy return",33.7,29.2,4.5,14.0,18.8,34.0,4.5,True to size,,4.0,3.0,116.2,97.6,26.3,6.0,9.74,276.0,4.0,2.0,5.0,78.8,0.5,2.5,$110,No,5.8,,,Yes,,,,,,,,24.8,97.3,79.1
Hoka,Bondi X,https://runrepeat.com/hoka-bondi-x,"Oct 01, 2021","Sep 27, 2021",Running,90.0,"Our verdict: Is this a running shoe or an Arctic explorer’s early take on a snowshoe? It’s huge underfoot and carries all the foam and plushness I would expect from the Hoka Bondi line. With one upgrade, yes, a carbon plate, which I super love in my runs.",,Tempo,Heel strike,"Mesh, Vegan, Mesh, ,",Road,Maximalist,"Well-cushioned, Great recovery shoe, Propulsive carbon plate, Breathable, Roomy toebox","Heavy, Pricey",37.2,31.6,9.6,,,,5.0,True to size,,5.0,4.0,118.3,106.3,88.6,359.0,10.51,298.0,,,,77.5,,2.3,$200,,3.8,Both sides (full),Finger loop,Yes,,,,,,,,69.4,95.3,
Brooks,Hyperion Gts,https://runrepeat.com/brooks-hyperion-gts,Jul 2023,"Sep 15, 2023",Running,91.0,"Our verdict: We found that the Brooks Hyperion GTS is a low stacked road shoe with a subtle stability system that sets the standard for what a speedy and steady tempo trainer should feel like. The Go To Support rails found at either side of the shoe’s plush yet responsive midsole form a lightweight solution that provides excellent support for those with mildly pronating strides. In our experience, if one can forgive a somewhat dodgy rearfoot lockdown, there really isn’t much negative to say about the Hyperion GTS.",,Tempo,Heel strike,"Mesh, Vegan  |, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, Lightweight","Extremely lightweight, Swift and race ready ride, Responsive midsole, Protective cushioning, Subtle but effective stability features, Traditional low stack geometry, Feels flexible and agile, Performance fit with an accommodating toebox, Grippy and durable outsole","Lackluster rearfoot lockdown, Higher than advertised drop, Not for severely over pronating strides",28.6,18.7,9.9,18.4,26.1,42.0,2.7,True to size,,3.0,3.0,114.3,85.1,17.1,34.0,8.04,228.0,5.0,3.0,4.0,73.5,0.5,2.9,$150,Yes,2.8,One side (semi),,Yes,,,,,,,,12.7,97.7,79.2
Altra,Via Olympus,https://runrepeat.com/altra-via-olympus,,"Dec 7, 2022",Running,85.0,"Our verdict: The Altra VIA Olympus is the max-cushioned road runner that we have been waiting for. Though it managed to rain on its own parade with a firmer-than-expected midsole, we found that this shoe more than made up for it with a comfy upper, stable platform, smooth ride, and wide fit.",,Daily running,Forefoot/Midfoot strike,"Mesh, Vegan  |, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, For heavy runners  |, |, For big guys  |, |, Low drop","Comfortable and premium-feeling upper, Roomy, unmistakably-Altra fit, Secure lockdown even for narrow feet, Smooth and responsive ride, Good for any distance at an easy pace, Effective, but not obtrusive, rocker, Copious amount of padding, Breathable, Absorbs impact well","Cushioning on the firm side, but a toss-up on how firm, Doesn’t feel like a zero-drop shoe, Substantial break-in period, On the heavier side",34.2,32.6,1.6,25.6,38.4,50.0,4.7,Slightly small,,5.0,2.0,114.9,93.9,84.6,17.0,10.55,299.0,4.0,,1.0,90.8,,3.3,$170,Yes,7.5,,,Yes,,,,,,,,72.1,101.4,
New Balance,Fresh Foam 680 V8,https://runrepeat.com/new-balance-fresh-foam-680-v8,,"Aug 17, 2024",Running,80.0,"Our verdict: In the fiercely competitive entry-level market, we think New Balance is really going for the top spot with the 680 v8. We were impressed by its surprising inclusion of Fresh Foam in a budget-friendly package—this midsole, coupled with a durable yet breathable upper, makes it an excellent choice for daily wear. In our tests, we found it extremely comfortable, though it lacks stability features, making it best suited for neutral runners.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Highly breathable upper, Exceptionally durable, Outstanding value, Optimal weight-to-cushioning ratio, Comfortable tongue, Fits all footstrikes, Ready for daily wear, Fresh Foam midsole, Effective lacing system","Not a fun ride, Poor traction in wet surfaces, Limited to neutral runners",35.4,27.6,7.8,16.3,22.8,40.0,4.7,True to size,26.2,2.0,3.0,113.9,89.6,19.8,20.0,9.21,261.0,5.0,4.0,4.0,83.6,0.7,3.5,$80,No,6.4,,,Yes,,,,,,,,12.8,97.25,75.85
Adidas,Terrex Speed Ultra,https://runrepeat.com/adidas-terrex-speed-ultra,,"May 17, 2021",Running,90.0,Our verdict: I discovered that most trail runners haven't been very keen on Adidas trail shoes. They seemed like an afterthought given that the brand's focus was admittedly on sneakers and soccer cleats. But then the Adidas Terrex Speed Ultra arrived. It performed so well out on the trails that even I have chosen it as my go-to.,,,Heel strike,"Mesh, Mesh",Trail,,"Lightweight, Nimble ride, Grippy outsole, Breathable, Dries quickly, Great lockdown, Reflective elements","Feels a touch minimalist, No heel pull loop",32.8,24.6,8.2,,,,2.7,True to size,,2.0,1.0,110.6,77.2,29.1,20.0,9.1,258.0,,,,84.0,,4.2,$160,,3.7,Both sides (semi),,Yes,,,,2.6,,,,24.3,98.8,
Saucony,Guide 14,https://runrepeat.com/saucony-guide-14,Feb 2021,"Feb 19, 2021",Running,87.0,"Our verdict: A stability shoe made for training runs, I found that Guide 14 from Saucony just gets the job done. No frills, no gimmicks, just plain support. While it may be a positive for the shoe, it also renders a negative - it's a dull ride. Whether you're an overpronator or a neutral runner in need of extra arch support, I can confirm that the Saucony Guide is neither obtrusive nor too harsh to not find that sweet spot in your daily running shoe roster.",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Mild stability, Wide toebox, Familiar Saucony fit, Good grip, Perfect midfoot lockdown, Really durable","Uninspired ride, Heel slipping, A bit heavy",33.8,24.4,9.4,,,,5.1,True to size,,2.0,,116.6,90.8,,,10.79,306.0,,,,,,4.0,$130,,8.5,Both sides (full),,Yes,,,,,,,,,99.3,
